topic,crops,parameter,fact_type,statement,value,min_value,max_value,unit,condition,action,evidence_quote,confidence,source_file,source_name,page_start,page_end,section,chunk_id,relevance_score,provenance,knowledge_text,fact_id
compost_management,,nitrogen availability in compost,cause_effect,"During composting, much of the nitrogen is converted into more stable organic forms, while potassium and phosphorus availability remain unchanged.",,,,None,during composting,None,"During composting, much of the nitrogen is converted into more stable organic forms, although potassium and phosphorus availability remain unchanged.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,224,224,,193782a9d0065d5ddb2e64193cb06f388d603bdd,0.6304,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 224, ""page_end"": 224, ""chunk_id"": ""193782a9d0065d5ddb2e64193cb06f388d603bdd"", ""evidence_quote"": ""During composting, much of the nitrogen is converted into more stable organic forms, although potassium and phosphorus availability remain unchanged.""}]","Parameter: nitrogen availability in compost
Fact: During composting, much of the nitrogen is converted into more stable organic forms, while potassium and phosphorus availability remain unchanged.
Condition: during composting
Recommended action: None",9cdda5c00c7dd093868c97984f2f2ac3cc704db3
composting,,bulking material,management_action,"Wood chips or bark provide the coarse structural matrix (skeleton) needed for airflow and handling, and may be recycled by shaking the finished compost out of the bulking material and then used for the next composting cycle.",,,,None,composting with wood chips or bark,Use wood chips or bark as bulking material; recycle by shaking finished compost out and reusing for next cycle,"Wood chips or bark also provide the coarse structural matrix (skeleton) needed for airflow and handling, and may be recycled by shaking the finished compost out of the bulking material and then used for the next composting cycle.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,218,218,,086f439ceef3b0c5e47597faf3ef3ab853215f4d,0.5966,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 218, ""page_end"": 218, ""chunk_id"": ""086f439ceef3b0c5e47597faf3ef3ab853215f4d"", ""evidence_quote"": ""Wood chips or bark also provide the coarse structural matrix (skeleton) needed for airflow and handling, and may be recycled by shaking the finished compost out of the bulking material and then used for the next composting cycle.""}]","Parameter: bulking material
Fact: Wood chips or bark provide the coarse structural matrix (skeleton) needed for airflow and handling, and may be recycled by shaking the finished compost out of the bulking material and then used for the next composting cycle.
Condition: composting with wood chips or bark
Recommended action: Use wood chips or bark as bulking material; recycle by shaking finished compost out and reusing for next cycle",11189f9efc84c747afe0565c695fd2bbc99afc03
composting,,c:n ratio,optimal_range,"Composting occurs most easily if high-nitrogen materials are mixed with high-carbon materials, with the average C:N ratio of the materials being about 25–40.",,25.0,40.0,None,average C:N ratio of compost materials,None,"Composting occurs most easily if high-nitrogen materials are mixed with high-carbon materials, with the average C:N ratio of the materials being about 25–40",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,217,217,,69e54b9820e2251a2801c720541e90a21086751c,0.6138,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 217, ""page_end"": 217, ""chunk_id"": ""69e54b9820e2251a2801c720541e90a21086751c"", ""evidence_quote"": ""Composting occurs most easily if high-nitrogen materials are mixed with high-carbon materials, with the average C:N ratio of the materials being about 25–40""}]","Parameter: c:n ratio
Fact: Composting occurs most easily if high-nitrogen materials are mixed with high-carbon materials, with the average C:N ratio of the materials being about 25–40.
Explicit range: 25 to 40 None
Condition: average C:N ratio of compost materials
Recommended action: None",8f772411beae95ca30ef78d22d80d9aa49a7ecae
composting,,c:n ratio,optimal_range,"Manure mixed with straw, wood chips or bark can be composted as is because it has the right C:N balance.",,,,None,"manure mixed with straw, wood chips or bark",None,"Therefore, manure mixed with straw, wood chips or bark can be composted as is, because it has the right C:N balance.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,218,218,,086f439ceef3b0c5e47597faf3ef3ab853215f4d,0.5966,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 218, ""page_end"": 218, ""chunk_id"": ""086f439ceef3b0c5e47597faf3ef3ab853215f4d"", ""evidence_quote"": ""Therefore, manure mixed with straw, wood chips or bark can be composted as is, because it has the right C:N balance.""}]","Parameter: c:n ratio
Fact: Manure mixed with straw, wood chips or bark can be composted as is because it has the right C:N balance.
Condition: manure mixed with straw, wood chips or bark
Recommended action: None",ff05556a0460d5273b8a290592dd44cab3495cf5
composting,,compost conditions,requirement,"Good composting requires a good balance of carbon (brown-dry) and nitrogen (green or colorful-wet), good aeration, and moist conditions.",,,,None,compost pile,None,"Critical to good composting is to have 1) a good balance of carbon (brown-dry) and nitrogen (green or colorful-wet), 2) good aeration, 3) moist conditions and 4) a mass of 4–5 cubic feet to reach and maintain high temperatures.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,227,227,,8ff1b2220b3f51b1902de39b0cafd2a094219e09,0.612,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 227, ""page_end"": 227, ""chunk_id"": ""8ff1b2220b3f51b1902de39b0cafd2a094219e09"", ""evidence_quote"": ""Critical to good composting is to have 1) a good balance of carbon (brown-dry) and nitrogen (green or colorful-wet), 2) good aeration, 3) moist conditions and 4) a mass of 4–5 cubic feet to reach and maintain high temperatures.""}]","Parameter: compost conditions
Fact: Good composting requires a good balance of carbon (brown-dry) and nitrogen (green or colorful-wet), good aeration, and moist conditions.
Condition: compost pile
Recommended action: None",18a4fe07191ac75cf67ed40367963c4249b220ec
composting,,compost nutrient solubility,cause_effect,"Making compost decreases the solubility of nutrients, which may help lessen pollution in streams, lakes and groundwater.",,,,None,composting process,None,"Also, since making compost decreases the solubility of nutrients, composting may help lessen pollution in streams, lakes and groundwater.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,226,226,,084edb6646290b4411e6c64459e3d16b1097790c,0.632,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 226, ""page_end"": 226, ""chunk_id"": ""084edb6646290b4411e6c64459e3d16b1097790c"", ""evidence_quote"": ""Also, since making compost decreases the solubility of nutrients, composting may help lessen pollution in streams, lakes and groundwater.""}]","Parameter: compost nutrient solubility
Fact: Making compost decreases the solubility of nutrients, which may help lessen pollution in streams, lakes and groundwater.
Condition: composting process
Recommended action: None",a4a6a9107ee78bc4fb05a2265607fb8ad784a586
composting,,compost pile mass,requirement,A compost pile mass of 4-5 cubic feet is needed to reach and maintain high temperatures.,,4.0,5.0,cubic feet,compost pile,None,"Critical to good composting is to have 1) a good balance of carbon (brown-dry) and nitrogen (green or colorful-wet), 2) good aeration, 3) moist conditions and 4) a mass of 4–5 cubic feet to reach and maintain high temperatures.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,227,227,,8ff1b2220b3f51b1902de39b0cafd2a094219e09,0.612,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 227, ""page_end"": 227, ""chunk_id"": ""8ff1b2220b3f51b1902de39b0cafd2a094219e09"", ""evidence_quote"": ""Critical to good composting is to have 1) a good balance of carbon (brown-dry) and nitrogen (green or colorful-wet), 2) good aeration, 3) moist conditions and 4) a mass of 4–5 cubic feet to reach and maintain high temperatures.""}]","Parameter: compost pile mass
Fact: A compost pile mass of 4-5 cubic feet is needed to reach and maintain high temperatures.
Explicit range: 4 to 5 cubic feet
Condition: compost pile
Recommended action: None",d39d4a095d26771259a526e8bd46524a10d5c27f
composting,,compost pile size reduction,other_agronomic_fact,"During the composting process, carbon dioxide and water are lost to the atmosphere and the size of the pile decreases by 30–60%.",,30.0,60.0,%,during composting process,None,"During the composting process, carbon dioxide and water are lost to the atmosphere and the size of the pile decreases by 30–60%.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,225,225,,b4d2e7e3861819caf0a2099fcd9ab62e54576c60,0.6551,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 225, ""page_end"": 225, ""chunk_id"": ""b4d2e7e3861819caf0a2099fcd9ab62e54576c60"", ""evidence_quote"": ""During the composting process, carbon dioxide and water are lost to the atmosphere and the size of the pile decreases by 30–60%.""}]","Parameter: compost pile size reduction
Fact: During the composting process, carbon dioxide and water are lost to the atmosphere and the size of the pile decreases by 30–60%.
Explicit range: 30 to 60 %
Condition: during composting process
Recommended action: None",268ed045d3f142349cf6be189f7c6d2e0efa8a64
composting,,compost temperature,threshold,Compost piles can reach temperatures as high as 170°F (77°C).,170.0,,,°F,composting,None,piles can reach temperatures as high as 170°F (77°C),0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,220,220,,3c9ebf75cfdcaf560abcaa4a36d094239ac986ef,0.5578,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 220, ""page_end"": 220, ""chunk_id"": ""3c9ebf75cfdcaf560abcaa4a36d094239ac986ef"", ""evidence_quote"": ""piles can reach temperatures as high as 170°F (77°C)""}]","Parameter: compost temperature
Fact: Compost piles can reach temperatures as high as 170°F (77°C).
Explicit value: 170 °F
Condition: composting
Recommended action: None",95c907857dbbfcdf9d5668923002b1edd422c6f9
composting,,compost temperature,optimal_range,The most efficient temperature range for composting is generally between 104°F and 140°F (40°C and 60°C).,,104.0,140.0,°F,composting,None,"The most efficient temperature range for composting is generally between 104°F and 140°F (40°C and 60°C), however, piles can reach temperatures as high as 170°F (77°C).",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,220,220,,3c9ebf75cfdcaf560abcaa4a36d094239ac986ef,0.5578,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 220, ""page_end"": 220, ""chunk_id"": ""3c9ebf75cfdcaf560abcaa4a36d094239ac986ef"", ""evidence_quote"": ""The most efficient temperature range for composting is generally between 104°F and 140°F (40°C and 60°C), however, piles can reach temperatures as high as 170°F (77°C).""}]","Parameter: compost temperature
Fact: The most efficient temperature range for composting is generally between 104°F and 140°F (40°C and 60°C).
Explicit range: 104 to 140 °F
Condition: composting
Recommended action: None",767099c26c6d799ea5407d27c5b0838528530a88
composting,,compost temperature maintenance duration,requirement,"Windrow composting systems must maintain a temperature within the specified range for a minimum of 15 days, during which the materials must be turned five times.",15.0,,,days,windrow composting system,turn materials five times during the 15-day period,"Composting operations that utilize a windrow composting system must maintain a temperature within that range for a minimum of 15 days, during which time the materials must be turned five times.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,222,222,,32a41c9711af625176e527c776df898d189b5151,0.5506,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 222, ""page_end"": 222, ""chunk_id"": ""32a41c9711af625176e527c776df898d189b5151"", ""evidence_quote"": ""Composting operations that utilize a windrow composting system must maintain a temperature within that range for a minimum of 15 days, during which time the materials must be turned five times.""}]","Parameter: compost temperature maintenance duration
Fact: Windrow composting systems must maintain a temperature within the specified range for a minimum of 15 days, during which the materials must be turned five times.
Explicit value: 15 days
Condition: windrow composting system
Recommended action: turn materials five times during the 15-day period",a99f2b36121603289ebb36856529f44cdfcf4786
composting,,composting temperature,threshold,"At temperatures below 110°F, mesophilic organisms take over and the rate of composting slows down.",110.0,,,°F,composting below 110°F,None,"At temperatures below 110°F, the more prolific mesophilic organisms take over and the rate of composting again slows down, especially as it drops toward ambient temperatures, a process known as 'curing.'",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,216,216,,3738c8d2bcbd6ca4accb2f5c5b74c33f6c33246b,0.5617,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 216, ""page_end"": 216, ""chunk_id"": ""3738c8d2bcbd6ca4accb2f5c5b74c33f6c33246b"", ""evidence_quote"": ""At temperatures below 110°F, the more prolific mesophilic organisms take over and the rate of composting again slows down, especially as it drops toward ambient temperatures, a process known as 'curing.'""}]","Parameter: composting temperature
Fact: At temperatures below 110°F, mesophilic organisms take over and the rate of composting slows down.
Explicit value: 110 °F
Condition: composting below 110°F
Recommended action: None",224d47915d2a7cb934ee9ca62c7355a79d0248fe
